Code_ID,Country_Code,Country,Year,Indicators,OBS_Values
ARE_2015,ARE,United Arab Emirates,2015,Access_Index,0.499495747
ARE_2015,ARE,United Arab Emirates,2015,Affordability_Index,0.854614362
ARE_2015,ARE,United Arab Emirates,2015,Internet_Index,0.677055055
ARE_2015,ARE,United Arab Emirates,2015,Digital_Transformation_Index,0.677055055
ARE_2016,ARE,United Arab Emirates,2016,OSI_Value,0.8913
ARE_2016,ARE,United Arab Emirates,2016,TII_Value,0.68813
ARE_2016,ARE,United Arab Emirates,2016,HCI_Value,0.67516
ARE_2016,ARE,United Arab Emirates,2016,EPI_Value,0.74576
ARE_2016,ARE,United Arab Emirates,2016,E-GOV_Index,0.75153
ARE_2016,ARE,United Arab Emirates,2016,Access_Index,0.50034187
ARE_2016,ARE,United Arab Emirates,2016,Affordability_Index,0.910271594
ARE_2016,ARE,United Arab Emirates,2016,Internet_Index,0.705306732
ARE_2016,ARE,United Arab Emirates,2016,Digital_Transformation_Index,0.728418366
ARE_2017,ARE,United Arab Emirates,2017,Access_Index,1.50612679
ARE_2017,ARE,United Arab Emirates,2017,Affordability_Index,0.894331291
ARE_2017,ARE,United Arab Emirates,2017,Internet_Index,0.780103209
ARE_2017,ARE,United Arab Emirates,2017,Digital_Payments_Index,0.674661971
ARE_2017,ARE,United Arab Emirates,2017,Usage_Index,0.546803912
ARE_2017,ARE,United Arab Emirates,2017,FI_Index,0.693527788
ARE_2017,ARE,United Arab Emirates,2017,Digital_Transformation_Index,0.72738259
ARE_2018,ARE,United Arab Emirates,2018,OSI_Value,0.9444
ARE_2018,ARE,United Arab Emirates,2018,TII_Value,0.8564
ARE_2018,ARE,United Arab Emirates,2018,HCI_Value,0.6877
ARE_2018,ARE,United Arab Emirates,2018,EPI_Value,0.9438
ARE_2018,ARE,United Arab Emirates,2018,E-GOV_Index,0.8295
ARE_2018,ARE,United Arab Emirates,2018,Access_Index,0.693926136
ARE_2018,ARE,United Arab Emirates,2018,Affordability_Index,0.892157229
ARE_2018,ARE,United Arab Emirates,2018,Internet_Index,0.793041682
ARE_2018,ARE,United Arab Emirates,2018,Digital_Transformation_Index,0.811270841
ARE_2019,ARE,United Arab Emirates,2019,Access_Index,0.717743562
ARE_2019,ARE,United Arab Emirates,2019,Affordability_Index,0.892157229
ARE_2019,ARE,United Arab Emirates,2019,Internet_Index,0.596752593
ARE_2019,ARE,United Arab Emirates,2019,Quality_Index,0.180356987
ARE_2019,ARE,United Arab Emirates,2019,Digital_Transformation_Index,0.596752593
ARE_2020,ARE,United Arab Emirates,2020,OSI_Value,0.9
ARE_2020,ARE,United Arab Emirates,2020,TII_Value,0.9344
ARE_2020,ARE,United Arab Emirates,2020,HCI_Value,0.732
ARE_2020,ARE,United Arab Emirates,2020,EPI_Value,0.9405
ARE_2020,ARE,United Arab Emirates,2020,E-GOV_Index,0.855466667
ARE_2020,ARE,United Arab Emirates,2020,Access_Index,0.924674246
ARE_2020,ARE,United Arab Emirates,2020,Affordability_Index,0.90192612
ARE_2020,ARE,United Arab Emirates,2020,Internet_Index,0.735365694
ARE_2020,ARE,United Arab Emirates,2020,Quality_Index,0.379496716
ARE_2020,ARE,United Arab Emirates,2020,Digital_Transformation_Index,0.79541618
ARE_2021,ARE,United Arab Emirates,2021,Access_Index,1.738279955
ARE_2021,ARE,United Arab Emirates,2021,Affordability_Index,0.923234441
ARE_2021,ARE,United Arab Emirates,2021,Internet_Index,0.856551992
ARE_2021,ARE,United Arab Emirates,2021,Quality_Index,0.714264054
ARE_2021,ARE,United Arab Emirates,2021,Digital_Payments_Index,0.45407507
ARE_2021,ARE,United Arab Emirates,2021,Usage_Index,0.188276242
ARE_2021,ARE,United Arab Emirates,2021,FI_Index,0.497199358
ARE_2021,ARE,United Arab Emirates,2021,Digital_Transformation_Index,0.655313531
ARE_2022,ARE,United Arab Emirates,2022,OSI_Value,0.9014
ARE_2022,ARE,United Arab Emirates,2022,TII_Value,0.9306
ARE_2022,ARE,United Arab Emirates,2022,HCI_Value,0.8711
ARE_2022,ARE,United Arab Emirates,2022,EPI_Value,0.7841
ARE_2022,ARE,United Arab Emirates,2022,E-GOV_Index,0.901033333
ARE_2022,ARE,United Arab Emirates,2022,Access_Index,0.910156658
ARE_2022,ARE,United Arab Emirates,2022,Affordability_Index,0.895738394
ARE_2022,ARE,United Arab Emirates,2022,Internet_Index,0.817858744
ARE_2022,ARE,United Arab Emirates,2022,Quality_Index,0.647681179
ARE_2022,ARE,United Arab Emirates,2022,Digital_Transformation_Index,0.859446039
