Country_Code,Country,Year,Access_Index,Affordability_Index,Quality_Index,Internet_Index
ARE,United Arab Emirates,2015,0.4993293747418925,0.854614362080268,,0.6769718684110803
ARE,United Arab Emirates,2016,0.5001736308436707,0.9102715940904348,,0.7052226124670528
ARE,United Arab Emirates,2017,0.6655067759241752,0.8943312913882466,,0.779919033656211
ARE,United Arab Emirates,2018,0.6935263517814665,0.8921572287747116,,0.7928417902780891
ARE,United Arab Emirates,2019,0.7173423831732753,0.8921572287747116,0.1803569870662791,0.5966188663380887
ARE,United Arab Emirates,2020,0.9242486545592606,0.9019261203056272,0.3794967163579262,0.7352238304076048
ARE,United Arab Emirates,2021,0.9317045133882118,0.9232344409558366,0.7142640538525551,0.8564010027322011
ARE,United Arab Emirates,2022,0.9096988299506186,0.8957383944734596,0.6476811789615633,0.8177061344618805
ARE,United Arab Emirates,2023,0.9047542210320398,0.9627691949741852,0.806804321110566,0.8914425790389303
ARE,United Arab Emirates,2024,0.9018647762546008,0.969790532290123,1.0,0.9572184361815745
EGY,"Egypt, Arab Rep.",2015,0.1612348165824578,0.6310428402267964,,0.3961388284046271
EGY,"Egypt, Arab Rep.",2016,0.1824537532865435,0.7609894695568387,,0.4717216114216911
EGY,"Egypt, Arab Rep.",2017,0.2066206070158986,0.8658146200480434,,0.5362176135319711
EGY,"Egypt, Arab Rep.",2018,0.2292856256836047,0.6173115399959117,,0.4232985828397582
EGY,"Egypt, Arab Rep.",2019,0.2850619508061815,0.6173115399959117,0.0066798628384887,0.3030177845468606
EGY,"Egypt, Arab Rep.",2020,0.3635346589007879,0.5995520858585789,0.0232201142803245,0.32876895301323045
EGY,"Egypt, Arab Rep.",2021,0.3733409892117627,0.6130747001755167,0.0339793833733613,0.3401316909202135
EGY,"Egypt, Arab Rep.",2022,0.3874107485308837,0.6424672472959505,0.0368192933143122,0.3555657630470488
EGY,"Egypt, Arab Rep.",2023,0.4048886860601218,0.7007857414629063,0.0467445793659186,0.3841396689629823
EGY,"Egypt, Arab Rep.",2024,0.4228795703959487,0.7106074365122907,0.0622168469596538,0.39856795128929773
GBR,United Kingdom,2015,0.7014970172888484,0.9645950494413708,,0.8330460333651095
GBR,United Kingdom,2016,0.7174282738649946,0.981943230885639,,0.8496857523753167
GBR,United Kingdom,2017,0.7128749832394202,0.8975930912389657,,0.805234037239193
GBR,United Kingdom,2018,0.7391327815733022,0.8661942868560332,,0.8026635342146677
GBR,United Kingdom,2019,0.7569277088509679,0.8554697986895188,0.115673141084482,0.5760235495416562
GBR,United Kingdom,2020,0.7765462639442221,0.786927436316649,0.148355528657361,0.570609742972744
GBR,United Kingdom,2021,0.814189410411005,0.8813790345519776,0.2326761001330751,0.6427481816986859
GBR,United Kingdom,2022,0.8159867646021226,0.8988367461212977,0.3043166509983026,0.6730467205739076
GBR,United Kingdom,2023,0.8221124730953577,0.912809019027548,0.3731024191164864,0.7026746370797974
GBR,United Kingdom,2024,0.8259403502572954,0.9121055224304664,0.470324909671911,0.7361235941198908
IND,India,2015,0.0,0.1420702074425813,,0.07103510372129065
IND,India,2016,0.0192968322150888,0.1364960163086842,,0.07789642426188649
IND,India,2017,0.0410521709437419,0.0645942647831357,,0.0528232178634388
IND,India,2018,0.0681161225832866,0.6304923074752989,,0.34930421502929276
IND,India,2019,0.1215308515437188,0.6373535231347768,0.0355201309759152,0.2648015018848036
IND,India,2020,0.1871442429631088,0.5228880076336468,0.0692554223618945,0.2597625576528834
IND,India,2021,0.2165287033261062,0.5767524325071005,0.116650892460304,0.3033106760978369
IND,India,2022,0.2490350383046453,0.6288679490492604,0.1400994847236241,0.3393341573591766
IND,India,2023,0.2762072748815351,0.624717841697065,0.3305689892133551,0.4104980352639851
IND,India,2024,0.3007368104822539,0.6555643738306745,0.3408373222095107,0.43237950217414634
SAU,Saudi Arabia,2015,0.4286228616563927,0.7949404829553274,,0.61178167230586
SAU,Saudi Arabia,2016,0.4423238483456038,0.8724918441585888,,0.6574078462520963
SAU,Saudi Arabia,2017,0.5577513074029613,0.7655058349173981,,0.6616285711601797
SAU,Saudi Arabia,2018,0.6065358952993576,0.8062540053046052,,0.7063949503019814
SAU,Saudi Arabia,2019,0.6247466556321862,0.8062540053046052,0.0933604330125787,0.5081203646497902
SAU,Saudi Arabia,2020,0.6953486378844037,0.673177334966428,0.2449134177828279,0.5378131302112198
SAU,Saudi Arabia,2021,0.7784582448885807,0.5780562237626851,0.3194994034108395,0.5586712906873684
SAU,Saudi Arabia,2022,0.8493636915939403,0.4878868796354021,0.3442440670957493,0.5604982127750305
SAU,Saudi Arabia,2023,0.9025271978351962,0.6780217503177708,0.3613448622659754,0.6472979368063142
SAU,Saudi Arabia,2024,0.9282931396507368,0.9284324371649276,0.3978956689628815,0.7515404152595154
