Code_ID,Country_Code,Country,Year,OSI_Value,TII_Value,HCI_Value,E_GOV_Index,Internet_Access_Index,Internet_Affordability_Index,Internet_Quality_Index,Internet_Index,Digital_Usage_Index,Digital_Access_Index,Digital_Commerce_Behavior_Index,Digital_Payments_Index,FI_Structure_Access_Index,FI_behavior_Usage_Index,FI_Index,Digital_Transformation_Index
ARE_2015,ARE,United Arab Emirates,2015,,,,,0.4993293747418925,0.854614362080268,,0.6769718684110803,,,,,,,,0.6769718684110803
ARE_2016,ARE,United Arab Emirates,2016,0.8913,0.68813,0.67516,0.7515299999999999,0.5001736308436707,0.9102715940904348,,0.7052226124670528,,,,,,,,0.7283763062335263
ARE_2017,ARE,United Arab Emirates,2017,,,,,0.6655067759241752,0.8943312913882466,,0.779919033656211,0.8084224698036285,0.5629566104534235,0.6526068316968608,0.6746619706513043,0.8402516641564985,0.5468039124000716,0.6935277882782851,0.7272905021537577
ARE_2018,ARE,United Arab Emirates,2018,0.9444,0.8564,0.6877,0.8295,0.6935263517814665,0.8921572287747116,,0.7928417902780891,,,,,,,,0.8111708951390446
ARE_2019,ARE,United Arab Emirates,2019,,,,,0.7173423831732753,0.8921572287747116,0.1803569870662791,0.5966188663380887,,,,,,,,0.5966188663380887
ARE_2020,ARE,United Arab Emirates,2020,0.9,0.9344,0.732,0.8554666666666666,0.9242486545592606,0.9019261203056272,0.3794967163579262,0.7352238304076048,,,,,,,,0.7953452485371357
ARE_2021,ARE,United Arab Emirates,2021,,,,,0.9317045133882118,0.9232344409558366,0.7142640538525551,0.8564010027322011,0.714362510620381,0.3303409174698441,0.317497918259469,0.4540671154498981,0.8061224734925929,0.1882762421411051,0.497199357816849,0.6552340590910496
ARE_2022,ARE,United Arab Emirates,2022,0.9014,0.9306,0.8711,0.9010333333333334,0.9096988299506186,0.8957383944734596,0.6476811789615633,0.8177061344618805,,,,,,,,0.859369733897607
ARE_2023,ARE,United Arab Emirates,2023,,,,,0.9047542210320398,0.9627691949741852,0.806804321110566,0.8914425790389303,,,,,,,,0.8914425790389303
ARE_2024,ARE,United Arab Emirates,2024,0.91627,1.0,0.94355,0.9532733333333332,0.9018647762546008,0.969790532290123,1.0,0.9572184361815744,,,,,,,,0.9552458847574539
EGY_2015,EGY,"Egypt, Arab Rep.",2015,,,,,0.1612348165824578,0.6310428402267964,,0.3961388284046271,,,,,,,,0.3961388284046271
EGY_2016,EGY,"Egypt, Arab Rep.",2016,0.47101,0.30246,0.60476,0.4594099999999999,0.1824537532865435,0.7609894695568387,,0.4717216114216911,,,,,,,,0.4655658057108455
EGY_2017,EGY,"Egypt, Arab Rep.",2017,,,,,0.2066206070158986,0.8658146200480434,,0.5362176135319711,0.033366350675626,0.0,0.0,0.0111221168918753,0.0738441514905516,0.0350208945103436,0.0544325230004476,0.27366986521192316
EGY_2018,EGY,"Egypt, Arab Rep.",2018,0.5347,0.3222,0.6072,0.4880333333333333,0.2292856256836047,0.6173115399959117,,0.4232985828397582,,,,,,,,0.45566595808654575
EGY_2019,EGY,"Egypt, Arab Rep.",2019,,,,,0.2850619508061815,0.6173115399959117,0.0066798628384887,0.3030177845468606,,,,,,,,0.3030177845468606
EGY_2020,EGY,"Egypt, Arab Rep.",2020,0.5706,0.4683,0.6192,0.5527,0.3635346589007879,0.5995520858585789,0.0232201142803245,0.3287689530132304,,,,,,,,0.4407344765066152
EGY_2021,EGY,"Egypt, Arab Rep.",2021,,,,,0.3733409892117627,0.6130747001755167,0.0339793833733613,0.3401316909202135,0.0,0.0323666725172251,0.0064187493974952,0.0129284739715734,0.0,0.0,0.0,0.17653008244589344
